appId,developerId,genreId,minInstalls
com.netflix.mediaclient,"Netflix,+Inc.",ENTERTAINMENT,1000000000
com.sec.android.app.launcher,5200379633052405703,PERSONALIZATION,1000000000
com.google.android.apps.books,5700313618786177705,BOOKS_AND_REFERENCE,1000000000
com.google.android.street,5700313618786177705,TRAVEL_AND_LOCAL,1000000000
com.samsung.knox.securefolder,5200379633052405703,BUSINESS,1000000000
com.king.candycrushsaga,6577204690045492686,GAME_CASUAL,1000000000
com.dts.freefireth,Garena+International+I,GAME_ACTION,1000000000
com.microsoft.skydrive,6720847872553662727,PRODUCTIVITY,1000000000
com.google.android.dialer,5700313618786177705,TOOLS,1000000000
com.spotify.music,Spotify+AB,MUSIC_AND_AUDIO,1000000000
com.google.android.apps.magazines,5700313618786177705,NEWS_AND_MAGAZINES,1000000000
com.skype.raider,Skype,COMMUNICATION,1000000000
com.kiloo.subwaysurf,7363891306616760846,GAME_ARCADE,1000000000
com.instagram.android,Instagram,SOCIAL,1000000000
com.google.android.projection.gearhead,5700313618786177705,AUTO_AND_VEHICLES,1000000000
com.mxtech.videoplayer.ad,MX+Media+(formerly+J2+Interactive),VIDEO_PLAYERS,1000000000
com.miui.weather2,5113340212256272297,WEATHER,1000000000
com.miniclip.eightballpool,5933611429942957630,GAME_SPORTS,500000000
com.ludo.king,8432995497152947670,GAME_BOARD,500000000
com.youmusic.magictiles,6093352993398167860,GAME_MUSIC,500000000
com.camerasideas.instashot,InShot+Video+Editor,PHOTOGRAPHY,500000000
com.supercell.clashofclans,6715068722362591614,GAME_STRATEGY,500000000
com.alibaba.aliexpresshd,Alibaba+Mobile,SHOPPING,500000000
com.samsung.android.oneconnect,5200379633052405703,LIFESTYLE,500000000
com.ubercab,7908612043055486674,MAPS_AND_NAVIGATION,500000000
com.roblox.client,5360036014478858866,GAME_ADVENTURE,500000000
com.fingersoft.hillclimb,7064049075652771302,GAME_RACING,500000000
com.google.android.apps.walletnfcrel,5700313618786177705,FINANCE,500000000
com.disney.wheresmywater2_goo,7580247376460930437,GAME_PUZZLE,100000000
com.application.zomato,7812834815367511165,FOOD_AND_DRINK,100000000
com.xiaomi.hm.health,"Anhui+Huami+Information+Technology+Co.,Ltd.",HEALTH_AND_FITNESS,100000000
com.netmarble.mherosgb,5258410538530331508,GAME_ROLE_PLAYING,100000000
com.ea.game.simcitymobile_row,6605125519975771237,GAME_SIMULATION,100000000
com.gotv.nflgamecenter.us.lite,7468190409947973272,SPORTS,100000000
com.etermax.preguntados.lite,4857484411335878422,GAME_TRIVIA,100000000
com.duolingo,6957685454452609502,EDUCATION,100000000
com.badoo.mobile,5884062829898474398,DATING,100000000
com.naver.linewebtoon,WEBTOON+ENTERTAINMENT,COMICS,100000000
io.teslatech.callbreak,9092629365387628173,GAME_CARD,100000000
jp.ne.ibis.ibispaintx.app,ibis+inc.,ART_AND_DESIGN,100000000
com.fugo.wow,9100248525030451640,GAME_WORD,100000000
com.tocaboca.tocakitchen2,8567646723268777320,GAME_EDUCATIONAL,100000000
air.com.playtika.slotomania,8370476508159322879,GAME_CASINO,50000000
com.arcsoft.perfect365,8748213714366969478,BEAUTY,50000000
com.felicanetworks.mfw.a.boot,"FeliCa+Networks,+Inc.",LIBRARIES_AND_DEMO,50000000
com.telkom.tracencare,7314860221926377334,MEDICAL,50000000
com.ticketmaster.mobile.android.na,5712692731004758815,EVENTS,10000000
com.urbanclap.urbanclap,Urban+Company,HOUSE_AND_HOME,10000000
com.becloser,Alterbelas,PARENTING,10000000
Winin App,598,1282,2021
MRR-Partner,0,0,2020
Eos7 Mobile,1.0,,
com.blablapost,"Ltd\"",Auto & Vehicles,
air.A29844,"гр. Пирдоп\"",Education,
mx.radio.abrorgmxlook,"BEYO & RADIORISHAS\"\"\"",Entertainment,
io.gonative.android.bmrmdn,"блин\"\"\"",Food & Drink,
AppAso - Music & Audio - Video,nulove07127@gmail.com,Music & Audio,
Helbiz,support@helbiz.com,Sports,
GPSmyCity.com,helpdesk@gpsmycity.com,Travel & Local,
air.barbamatika,"гр. Пирдоп\"",Educational,
kz.ukteplo.uktsinspectors,"отдел ПО\"",Tools,
by.jlab.gp,"КУП\"",Shopping,
kz.ukteplo.uktscab,"отдел ПО\"",Social,
Laughlin,Levy & Moresi LLP,+Levy+%26+Moresi+LLP,
com.evo.android.knaaz_app,"УИТ\"",Productivity,
Astian,contact@astian.org,Photography,
the apps you want to refine imported vehicles,이카샵 - 중고차,1530583746,
Accounting,Billing,7146473857343929303,
Internet Publishing Service,kitabsucinusantara@gmail.com,Books & Reference,
PDS Solutions,support@petrodatasync.com,Business,
com.sokrat.grd.full.paid,"г. Иркутск\"",Communication,
Nissan North America,IFShelp@infinitifinance.com,True,
명언여행 - 명언,명상,멘토글,
appstop dieta,fitness,https://y731e067e.app-ads-txt.com,
