developerId,genreId,total_minInstalls
5700313618786177705,TOOLS,9658679327
5700313618786177705,PRODUCTIVITY,6536210000
5700313618786177705,COMMUNICATION,3630110000
5630538819012062144,GAME_CASUAL,2900000000
5700313618786177705,MUSIC_AND_AUDIO,2120000000
5700313618786177705,TRAVEL_AND_LOCAL,2100000000
4946022439885210717,GAME_EDUCATIONAL,1639600000
TikTok+Pte.+Ltd.,SOCIAL,1511000000
7019463006329470284,NEWS_AND_MAGAZINES,1500000000
"Netflix,+Inc.",ENTERTAINMENT,1101120000
Garena+International+I,GAME_ACTION,1100000000
MX+Media+(formerly+J2+Interactive),VIDEO_PLAYERS,1050000000
VOODOO,GAME_ARCADE,1049806000
5700313618786177705,FINANCE,1020000000
5200379633052405703,BUSINESS,1001741000
5700313618786177705,BOOKS_AND_REFERENCE,1001000000
5700313618786177705,AUTO_AND_VEHICLES,1000005000
5200379633052405703,PERSONALIZATION,1000000000
5113340212256272297,WEATHER,1000000000
5933611429942957630,GAME_SPORTS,905201000
6093352993398167860,GAME_MUSIC,868851300
6715068722362591614,GAME_STRATEGY,701500000
6392896734092635573,GAME_PUZZLE,663610000
Motorola+Mobility+LLC.,PHOTOGRAPHY,662000000
5200379633052405703,LIFESTYLE,661200000
Amazon+Mobile+LLC,SHOPPING,650701000
7064049075652771302,GAME_RACING,600050000
7908612043055486674,MAPS_AND_NAVIGATION,511000000
6443412597262225303,GAME_SIMULATION,509106000
8432995497152947670,GAME_BOARD,501000000
5360036014478858866,GAME_ADVENTURE,500000000
Coco+Play+By+TabTale,GAME_ROLE_PLAYING,321000000
7082921952629566940,GAME_TRIVIA,208010000
Simple+Design+Ltd.,HEALTH_AND_FITNESS,172056000
7848396439597711856,GAME_WORD,146100000
5700313618786177705,EDUCATION,135300000
7125885284350687141,GAME_CARD,134350000
7908612043055486674,FOOD_AND_DRINK,110000000
Cricbuzz.com,SPORTS,110000000
"FeliCa+Networks,+Inc.",LIBRARIES_AND_DEMO,110000000
5884062829898474398,DATING,105000000
ibis+inc.,ART_AND_DESIGN,100050000
WEBTOON+ENTERTAINMENT,COMICS,100000000
8370476508159322879,GAME_CASINO,61600000
7314860221926377334,MEDICAL,50110000
8748213714366969478,BEAUTY,50000000
8024937380713779869,HOUSE_AND_HOME,21000000
6809109784060370658,PARENTING,11000000
5712692731004758815,EVENTS,10105000
0,0,12107
598,1282,2021
2.3,,
"Ltd\"",Auto & Vehicles,
keenrelish@gmail.com,Education,
"BEYO & RADIORISHAS\"\"\"",Entertainment,
"блин\"\"\"",Food & Drink,
nulove07127@gmail.com,Music & Audio,
support@helbiz.com,Sports,
wordproductionsllc@gmail.com,Travel & Local,
"гр. Пирдоп\"",Educational,
support@speedspot.org,Tools,
info@buildclub.com,Shopping,
"отдел ПО\"",Social,
Levy & Moresi LLP,+Levy+%26+Moresi+LLP,
"УИТ\"",Productivity,
이카샵 - 중고차,1530583746,
Billing,7146473857343929303,
kitabsucinusantara@gmail.com,Books & Reference,
bryan@profitabletrucker.com,Business,
contact@astian.org,Photography,
help@republicwireless.com,Communication,
IMETRIX.Google@imetrix.net,True,
명상,멘토글,
fitness,https://y731e067e.app-ads-txt.com,
