appId,developerId,genreId,price
명언여행 - 명언,명상,멘토글,1.5616224E9
PT. Smartfren Telecom,mobapp@smartfren.com,True,77278.0
M2Catalyst,support@m2catalyst.com,True,9938.0
Digitalchemy,FractionCalculatorPlus@digitalchemy.us,Tools,8007.0
Internet Speed Test,support@speedspot.org,Tools,6898.0
Comcast Cable Corporation,xfinity_tvapp@comcast.com,True,4141.0
NETGEAR,netgearteam@netgear.com,True,3928.0
Golden Frog,support@goldenfrog.com,True,2717.0
com.altshift.orenda.cryingsuns,5549044713487227941,GAME_STRATEGY,1100.0
PeopleReady,appsupport@trueblue.com,True,917.0
