releasedYear,releasedMonth,month_count,rank
2009,Dec,18,1
2009,Jun,14,2
2009,May,13,3
2009,Jul,10,4
2009,Nov,9,5
2009,Feb,8,6
2009,Oct,8,6
2009,Sep,7,7
2009,Aug,7,7
2009,Mar,6,8
2009,Apr,5,9
2010,Dec,859,1
2010,Nov,637,2
2010,Oct,588,3
2010,Sep,472,4
2010,Aug,471,5
2010,Jul,358,6
2010,Jun,356,7
2010,May,332,8
2010,Mar,236,9
2010,Apr,193,10
2010,Feb,156,11
2010,Jan,56,12
2011,Dec,1811,1
2011,Nov,1600,2
2011,Oct,1495,3
2011,Sep,1417,4
2011,Aug,1285,5
2011,Jul,1251,6
2011,Jun,1159,7
2011,May,1054,8
2011,Apr,1052,9
2011,Mar,973,10
2011,Feb,950,11
2011,Jan,807,12
2012,Dec,2774,1
2012,Nov,2630,2
2012,Oct,2528,3
2012,May,2313,4
2012,Aug,2312,5
2012,Sep,2281,6
2012,Mar,2245,7
2012,Jun,2085,8
2012,Jul,2068,9
2012,Apr,2037,10
2012,Feb,1846,11
2012,Jan,1604,12
2013,Dec,4953,1
2013,Nov,4438,2
2013,Oct,4231,3
2013,Jul,3904,4
2013,Sep,3878,5
2013,Jun,3826,6
2013,May,3546,7
2013,Apr,3520,8
2013,Aug,3477,9
2013,Mar,3353,10
2013,Jan,2804,11
2013,Feb,2802,12
2014,Dec,7259,1
2014,Oct,6830,2
2014,Nov,6750,3
2014,Sep,6461,4
2014,Aug,6293,5
2014,Jul,6046,6
2014,Jun,5956,7
2014,May,5852,8
2014,Mar,5720,9
2014,Apr,5687,10
2014,Feb,4804,11
2014,Jan,4743,12
2015,Dec,10157,1
2015,Nov,9997,2
2015,Oct,9638,3
2015,Sep,8993,4
2015,Aug,8795,5
2015,Mar,8768,6
2015,Jul,8625,7
2015,Jun,8465,8
2015,Apr,8336,9
2015,May,8096,10
2015,Jan,7666,11
2015,Feb,7400,12
2016,Dec,14423,1
2016,Oct,13703,2
2016,Nov,13485,3
2016,Sep,12644,4
2016,Aug,12405,5
2016,Jun,12206,6
2016,May,11724,7
2016,Mar,11649,8
2016,Jul,11386,9
2016,Apr,10981,10
2016,Feb,10411,11
2016,Jan,10367,12
2017,Dec,20323,1
2017,Nov,20169,2
2017,Sep,20097,3
2017,Aug,20023,4
2017,Oct,19684,5
2017,Jun,18706,6
2017,Jul,18326,7
2017,May,18091,8
2017,Mar,17860,9
2017,Apr,16169,10
2017,Feb,14477,11
2017,Jan,14331,12
2018,Oct,28938,1
2018,Dec,28040,2
2018,Nov,27696,3
2018,Sep,26320,4
2018,Jul,25944,5
2018,Aug,24991,6
2018,May,24641,7
2018,Mar,24250,8
2018,Jun,23207,9
2018,Apr,22672,10
2018,Jan,21294,11
2018,Feb,20607,12
2019,Oct,52274,1
2019,Dec,51315,2
2019,Sep,50130,3
2019,Jul,49723,4
2019,Nov,48953,5
2019,Aug,46683,6
2019,Jun,44372,7
2019,May,38370,8
2019,Apr,35408,9
2019,Mar,35248,10
2019,Jan,31516,11
2019,Feb,30847,12
2020,Jul,64984,1
2020,Jun,64663,2
2020,May,63147,3
2020,Oct,62131,4
2020,Sep,60311,5
2020,Aug,58490,6
2020,Apr,57332,7
2020,Dec,57148,8
2020,Nov,55194,9
2020,Mar,54522,10
2020,Jan,50575,11
2020,Feb,48294,12
2021,Mar,63043,1
2021,Sep,61612,2
2021,Jun,60957,3
2021,Jul,60690,4
2021,Dec,60471,5
2021,Oct,60199,6
2021,Apr,59695,7
2021,Jan,59449,8
2021,Aug,58905,9
2021,May,58570,10
2021,Nov,57911,11
2021,Feb,54679,12
2022,Mar,70412,1
2022,Jun,69355,2
2022,May,65608,3
2022,Apr,65430,4
2022,Jan,63577,5
2022,Jul,62751,6
2022,Feb,61826,7
2022,Aug,57191,8
2022,Sep,46714,9
2022,Oct,23270,10
2022,Nov,23,11
