appId,developerId,genreId,title,reviews
com.instagram.android,Instagram,SOCIAL,Instagram,4394018
com.roblox.client,5360036014478858866,GAME_ADVENTURE,Roblox,3179708
com.google.android.youtube,5700313618786177705,VIDEO_PLAYERS,YouTube,2770308
com.facebook.orca,"Meta+Platforms,+Inc.",COMMUNICATION,Messenger,2370886
com.king.candycrushsaga,6577204690045492686,GAME_CASUAL,Candy Crush Saga,2017101
com.supercell.clashofclans,6715068722362591614,GAME_STRATEGY,Clash of Clans,1949249
com.kiloo.subwaysurf,7363891306616760846,GAME_ARCADE,Subway Surfers,1790042
com.spotify.music,Spotify+AB,MUSIC_AND_AUDIO,Spotify: Music and Podcasts,1592828
com.contextlogic.wish,Wish+Inc.,SHOPPING,Wish: Shop And Save,1324537
com.google.android.apps.photos,5700313618786177705,PHOTOGRAPHY,Google Photos,1224504
com.miniclip.eightballpool,5933611429942957630,GAME_SPORTS,8 Ball Pool,924268
net.zedge.android,Zedge,PERSONALIZATION,ZEDGE™ Wallpapers & Ringtones,915675
com.netflix.mediaclient,"Netflix,+Inc.",ENTERTAINMENT,Netflix,881481
com.tencent.ig,8638120915920097780,GAME_ACTION,PUBG MOBILE,816389
com.dominospizza,Domino's+Pizza+LLC,FOOD_AND_DRINK,Domino's Pizza USA,715538
com.google.android.gms,5700313618786177705,TOOLS,Google Play services,687893
com.pinterest,Pinterest,LIFESTYLE,Pinterest,643156
com.episodeinteractive.android.catalog,Episode+Interactive,GAME_SIMULATION,Episode - Choose Your Story,632416
com.waze,Waze,MAPS_AND_NAVIGATION,Waze Navigation & Live Traffic,630630
com.duolingo,6957685454452609502,EDUCATION,Duolingo: language lessons,626573
com.chase.sig.android,JPMorgan+Chase,FINANCE,Chase Mobile,615161
com.google.android.apps.maps,5700313618786177705,TRAVEL_AND_LOCAL,Google Maps,610085
com.naturalmotion.customstreetracer2,NaturalMotionGames+Ltd,GAME_RACING,CSR 2 - Drag Racing Car Games,599422
com.zynga.words,6690081412016968981,GAME_WORD,Words with Friends Word Puzzle,575042
com.etermax.preguntados.lite,4857484411335878422,GAME_TRIVIA,Trivia Crack,539186
com.sirma.mobile.bible.android,Life.Church,BOOKS_AND_REFERENCE,YouVersion Bible App + Audio,525738
com.weather.Weather,5938833519207566184,WEATHER,The Weather Channel - Radar,518506
com.myfitnesspal.android,"MyFitnessPal,+Inc.",HEALTH_AND_FITNESS,MyFitnessPal: Calorie Counter,435139
net.peakgames.toonblast,7348725256760208886,GAME_PUZZLE,Toon Blast,375573
air.com.playtika.slotomania,8370476508159322879,GAME_CASINO,Slotomania™ Slots Casino Games,372612
com.pixel.art.coloring.color.number,4677399971720148178,GAME_BOARD,Happy Color® – Color by Number,337742
com.hp.android.printservice,9030305074573031837,PRODUCTIVITY,HP Print Service Plugin,337602
com.dragonplay.liveholdempro,Scientific+Games+Interactive+(IL),GAME_CARD,Live Hold’em Pro Poker,331041
com.google.android.projection.gearhead,5700313618786177705,AUTO_AND_VEHICLES,Android Auto,306246
com.lilithgame.hgame.gp,6526849192653249949,GAME_ROLE_PLAYING,AFK Arena,280257
com.bigbluebubble.singingmonsters.full,6388759014800755560,GAME_MUSIC,My Singing Monsters,209812
com.badoo.mobile,5884062829898474398,DATING,Badoo - Dating. Chat. Meet.,201290
com.indeed.android.jobsearch,Indeed+Jobs,BUSINESS,Indeed Job Search,161704
com.gotv.nflgamecenter.us.lite,7468190409947973272,SPORTS,NFL,161514
com.tocaboca.tocalifeworld,8567646723268777320,GAME_EDUCATIONAL,Toca Life World,149980
flipboard.app,7019463006329470284,NEWS_AND_MAGAZINES,Flipboard: The Social Magazine,135857
com.goodrx,GoodRx,MEDICAL,GoodRx: Prescription Coupons,125221
jp.ne.ibis.ibispaintx.app,ibis+inc.,ART_AND_DESIGN,ibis Paint X,99163
com.babycenter.pregnancytracker,BabyCenter,PARENTING,Pregnancy App & Baby Tracker,84994
com.naver.linewebtoon,WEBTOON+ENTERTAINMENT,COMICS,WEBTOON,83103
com.trulia.android,7989523405042027763,HOUSE_AND_HOME,Trulia: Homes For Sale & Rent,59290
com.arcsoft.perfect365,8748213714366969478,BEAUTY,Perfect365 Makeup Photo Editor,49923
com.ticketmaster.mobile.android.na,5712692731004758815,EVENTS,"Ticketmaster－Buy, Sell Tickets",34560
com.equalizer.volume.music.bass.booster.tool,Music+Tool+Lab,LIBRARIES_AND_DEMO,Equalizer Pro - Volume Booster & Bass Booster,13450
